eid,doi,pii,title,authors,journal,year,full_text
2-s2.0-85202719697,10.1016/j.jobe.2024.110635,S2352710224022034,Preparation of composite superhydrophobic coatings for mortar utilizing polydime…,Lu L.,Journal of Building Engineering,2024,downloads/10.1016_j.jobe.2024.110635.pdf
2-s2.0-85170032592,10.1016/j.jsps.2023.101762,S1319016423002578,Multi-target action of Garcinia livingstonei extract and secondary metabolites a…,Abdul-Rahman A.M.,Saudi Pharmaceutical Journal,2023,downloads/10.1016_j.jsps.2023.101762.pdf
2-s2.0-84942523475,10.1016/j.plaphy.2015.09.007,S0981942815301091,Identification and functional analysis of the autofluorescent substance in Limon…,Deng Y.,Plant Physiology and Biochemistry,2015,downloads/10.1016_j.plaphy.2015.09.007.pdf
2-s2.0-84938309340,10.4315/0362-028X.JFP-15-056,,Role of cellulose and colanic acid in attachment of shiga toxin-producing Escher…,Lee C.C.,Journal of Food Protection,2015,downloads/10.4315_0362-028X.JFP-15-056.pdf
2-s2.0-85199867771,10.1016/j.sajb.2024.07.048,S0254629924004575,Exploring the cytoprotective potential of flavonoid fraction from Carica papaya …,Kumar S.S.,South African Journal of Botany,2024,downloads/10.1016_j.sajb.2024.07.048.pdf
2-s2.0-85117092722,10.3389/fmicb.2021.738058,,Prospecting Endophytic Bacteria Endowed With Plant Growth Promoting Potential Is…,Hazarika S.N.,Frontiers in Microbiology,2021,downloads/10.3389_fmicb.2021.738058_OA.pdf
2-s2.0-84905157351,10.1016/j.msec.2014.07.022,S0928493114004299,Preparation and hydrophobicity of biomorphic ZnO/carbon based on a lotus-leaf te…,Wang T.,Materials Science and Engineering C,2014,downloads/10.1016_j.msec.2014.07.022.pdf
2-s2.0-85044764801,10.1016/j.phymed.2018.03.051,S0944711318300862,Anti-inflammatory and antioxidant activities of naringin isolated from Carissa c…,El-desoky A.H.,Phytomedicine,2018,downloads/10.1016_j.phymed.2018.03.051.pdf
2-s2.0-85186573407,10.3389/fsufs.2024.1343615,,Effects of alkaline and ultrasonication on duckweed (Wolffia arrhiza) protein ex…,Nitiwuttithorn C.,Frontiers in Sustainable Food Systems,2024,downloads/10.3389_fsufs.2024.1343615_OA.pdf
2-s2.0-84958211906,10.1016/j.apsusc.2016.02.090,S0169433216302598,Fabrication of biomimetic superhydrophobic steel surface under an oxygen rich en…,Yin L.,Applied Surface Science,2016,downloads/10.1016_j.apsusc.2016.02.090.pdf
2-s2.0-85067962395,10.1016/j.jallcom.2019.04.169,S0925838819314501,A simple two-step approach for the fabrication of bio-inspired superhydrophobic …,Lian Z.,Journal of Alloys and Compounds,2019,downloads/10.1016_j.jallcom.2019.04.169.pdf
2-s2.0-85136691248,10.1016/j.orggeochem.2022.104463,S0146638022000973,Understanding the disparity in n-alkane production among angiosperms and gymnosp…,Dasgupta B.,Organic Geochemistry,2022,downloads/10.1016_j.orggeochem.2022.104463.pdf
2-s2.0-85202447393,10.3390/app14166993,,Combined Process for Caffeine Treatment in Aqueous Solution by Adsorption/Regene…,Zanatta N.P.,Applied Sciences (Switzerland),2024,downloads/10.3390_app14166993_OA.pdf
2-s2.0-85129148389,10.1080/03067319.2022.2060088,,A comparative study of CuO nanoparticle and CuO/PVA-PVP nanocomposite on the bas…,Ghosh N.,International Journal of Environmental Analytical Chemistry,2024,downloads/10.1080_03067319.2022.2060088_OA.pdf
2-s2.0-85003467412,10.1016/j.orggeochem.2016.10.016,S014663801630287X,Extracting the most from terrestrial plant-derived n-alkyl lipids and their carb…,Diefendorf A.F.,Organic Geochemistry,2017,downloads/10.1016_j.orggeochem.2016.10.016.pdf
